LID,#ID,Avg_fold,Length,Ref_GC,Covered_percent,Covered_bases,Plus_reads,Minus_reads,Read_GC,Median_fold,Std_Dev
LID105928,2_LID_108406_319_length_33793_cov_3042.057049,0.1467,33793,0.5329,8.0135,2708,83,94,0.5224,0,0.6
LID105928,3_LID_108304_5458_2674_1100_9120_632_updated,0.1364,34219,0.4927,7.6244,2609,83,92,0.5046,0,0.53
LID105928,4_LID_107882_345_length_34311_cov_8.59512,0.1291,34311,0.5302,7.9916,2742,79,72,0.5425,0,0.49
LID105928,5_LID_105867_65_length_34064_cov_12.309771,0.1424,34064,0.5259,8.5339,2907,79,81,0.531,0,0.54
LID105928,6_LID_107883_492_length_34868_cov_56.276093,0.2158,34868,0.5993,11.7213,4087,137,134,0.6302,0,0.73
LID105928,7_LID_105984_101_length_34574_cov_32.439343,0.1254,34574,0.5178,7.254,2508,76,81,0.5251,0,0.5
,,,,,,,,,,,
,,,,,,,,,,,
LID105929,1_LID_105965_147_length_32612_cov_57.813084,0.0225,32612,0.4945,1.2419,405,15,12,0.4867,0,0.22
LID105929,2_LID_108406_319_length_33793_cov_3042.057049,0.1878,33793,0.5329,11.4462,3868,35,33,0.5228,0,0.59
LID105929,3_LID_108304_5458_2674_1100_9120_632_updated,0.0233,34219,0.4927,1.3297,455,18,11,0.5586,0,0.22
LID105929,4_LID_107882_345_length_34311_cov_8.59512,0.0101,34311,0.5302,0.5188,178,5,7,0.5223,0,0.17
LID105929,5_LID_105867_65_length_34064_cov_12.309771,0.0164,34064,0.5259,1.0392,354,11,9,0.5667,0,0.17
LID105929,6_LID_107883_492_length_34868_cov_56.276093,0.0317,34868,0.5993,1.8039,629,18,22,0.6465,0,0.26
LID105929,7_LID_105984_101_length_34574_cov_32.439343,0.0176,34574,0.5178,1.183,409,11,8,0.6038,0,0.17
,,,,,,,,,,,
,,,,,,,,,,,
LID105930,1_LID_105965_147_length_32612_cov_57.813084,0.0025,32612,0.4945,0.1227,40,0,2,0.4667,0,0.07
LID105930,2_LID_108406_319_length_33793_cov_3042.057049,0.0007,33793,0.5329,0.074,25,0,1,0.24,0,0.03
LID105930,3_LID_108304_5458_2674_1100_9120_632_updated,0.001,34219,0.4927,0.0964,33,0,1,0.75,0,0.03
LID105930,4_LID_107882_345_length_34311_cov_8.59512,0.0043,34311,0.5302,0.2157,74,3,3,0.5696,0,0.09
LID105930,5_LID_105867_65_length_34064_cov_12.309771,0.0061,34064,0.5259,0.276,94,4,3,0.4899,0,0.13
LID105930,6_LID_107883_492_length_34868_cov_56.276093,0.0016,34868,0.5993,0.0803,28,1,1,0.5357,0,0.06
LID105930,7_LID_105984_101_length_34574_cov_32.439343,0.0015,34574,0.5178,0.1504,52,1,1,0.5577,0,0.04
,,,,,,,,,,,
,,,,,,,,,,,
LID105931,1_LID_105965_147_length_32612_cov_57.813084,0.0226,32612,0.4945,1.3308,434,15,11,0.4835,0,0.24
LID105931,2_LID_108406_319_length_33793_cov_3042.057049,0.0223,33793,0.5329,1.5417,521,13,14,0.4979,0,0.2
LID105931,3_LID_108304_5458_2674_1100_9120_632_updated,0.0238,34219,0.4927,1.5109,517,14,16,0.5103,0,0.2
LID105931,4_LID_107882_345_length_34311_cov_8.59512,0.0201,34311,0.5302,1.2328,423,12,13,0.5065,0,0.21
LID105931,5_LID_105867_65_length_34064_cov_12.309771,0.0242,34064,0.5259,1.4766,503,17,13,0.5252,0,0.22
LID105931,6_LID_107883_492_length_34868_cov_56.276093,0.033,34868,0.5993,2.1997,767,20,20,0.643,0,0.25
LID105931,7_LID_105984_101_length_34574_cov_32.439343,0.0226,34574,0.5178,1.6226,561,14,12,0.4859,0,0.19
,,,,,,,,,,,
,,,,,,,,,,,
LID105934,1_LID_105965_147_length_32612_cov_57.813084,0.0258,32612,0.4945,1.6681,544,15,14,0.4834,0,0.21
LID105934,2_LID_108406_319_length_33793_cov_3042.057049,0.0436,33793,0.5329,2.6633,900,26,24,0.5446,0,0.3
LID105934,3_LID_108304_5458_2674_1100_9120_632_updated,0.0246,34219,0.4927,1.5693,537,16,15,0.5137,0,0.2
LID105934,4_LID_107882_345_length_34311_cov_8.59512,0.0329,34311,0.5302,1.9498,669,23,18,0.5532,0,0.26
LID105934,5_LID_105867_65_length_34064_cov_12.309771,0.0503,34064,0.5259,2.8417,968,28,35,0.5163,0,0.32
LID105934,6_LID_107883_492_length_34868_cov_56.276093,0.062,34868,0.5993,3.6337,1267,34,35,0.6203,0,0.36
LID105934,7_LID_105984_101_length_34574_cov_32.439343,0.0425,34574,0.5178,2.8085,971,22,22,0.4892,0,0.28
,,,,,,,,,,,
,,,,,,,,,,,
LID105935,1_LID_105965_147_length_32612_cov_57.813084,0.0459,32612,0.4945,2.8272,922,30,23,0.5352,0,0.3
LID105935,2_LID_108406_319_length_33793_cov_3042.057049,0.065,33793,0.5329,3.6516,1234,33,38,0.5512,0,0.39
LID105935,3_LID_108304_5458_2674_1100_9120_632_updated,0.0476,34219,0.4927,2.8084,961,26,33,0.528,0,0.33
LID105935,4_LID_107882_345_length_34311_cov_8.59512,0.0461,34311,0.5302,2.8708,985,30,24,0.5755,0,0.29
LID105935,5_LID_105867_65_length_34064_cov_12.309771,0.0454,34064,0.5259,2.5892,882,30,27,0.5663,0,0.31
LID105935,6_LID_107883_492_length_34868_cov_56.276093,0.0732,34868,0.5993,4.7608,1660,43,46,0.652,0,0.37
LID105935,7_LID_105984_101_length_34574_cov_32.439343,0.0381,34574,0.5178,2.6378,912,25,22,0.5131,0,0.25
,,,,,,,,,,,
,,,,,,,,,,,
LID105937,1_LID_105965_147_length_32612_cov_57.813084,0.0179,32612,0.4945,0.8984,293,10,12,0.5676,0,0.2
LID105937,2_LID_108406_319_length_33793_cov_3042.057049,0.0234,33793,0.5329,1.5506,524,13,13,0.6152,0,0.2
LID105937,3_LID_108304_5458_2674_1100_9120_632_updated,0.0313,34219,0.4927,1.8703,640,16,18,0.5358,0,0.24
LID105937,4_LID_107882_345_length_34311_cov_8.59512,0.0193,34311,0.5302,1.4194,487,13,12,0.5353,0,0.17
LID105937,5_LID_105867_65_length_34064_cov_12.309771,0.0228,34064,0.5259,1.6264,554,9,15,0.5708,0,0.19
LID105937,6_LID_107883_492_length_34868_cov_56.276093,0.0403,34868,0.5993,2.7389,955,25,24,0.6389,0,0.26
LID105937,7_LID_105984_101_length_34574_cov_32.439343,0.0135,34574,0.5178,0.9256,320,10,8,0.562,0,0.15
,,,,,,,,,,,
,,,,,,,,,,,
LID105939,1_LID_105965_147_length_32612_cov_57.813084,0.0453,32612,0.4945,3.1461,1026,21,26,0.4898,0,0.3
LID105939,2_LID_108406_319_length_33793_cov_3042.057049,0.1613,33793,0.5329,8.8776,3000,48,41,0.5405,0,0.58
LID105939,3_LID_108304_5458_2674_1100_9120_632_updated,0.0623,34219,0.4927,3.7932,1298,37,37,0.4679,0,0.34
LID105939,4_LID_107882_345_length_34311_cov_8.59512,0.0506,34311,0.5302,3.1768,1090,30,27,0.5119,0,0.31
LID105939,5_LID_105867_65_length_34064_cov_12.309771,0.0429,34064,0.5259,2.7977,953,30,26,0.519,0,0.28
LID105939,6_LID_107883_492_length_34868_cov_56.276093,0.0672,34868,0.5993,4.0496,1412,38,42,0.6265,0,0.36
LID105939,7_LID_105984_101_length_34574_cov_32.439343,0.0384,34574,0.5178,2.9531,1021,23,19,0.5139,0,0.24
,,,,,,,,,,,
,,,,,,,,,,,
LID105944,1_LID_105965_147_length_32612_cov_57.813084,0.0331,32612,0.4945,2.1955,716,21,19,0.5014,0,0.24
LID105944,2_LID_108406_319_length_33793_cov_3042.057049,0.0771,33793,0.5329,4.4033,1488,41,47,0.5551,0,0.39
LID105944,3_LID_108304_5458_2674_1100_9120_632_updated,0.0586,34219,0.4927,3.2672,1118,35,34,0.4798,0,0.37
LID105944,4_LID_107882_345_length_34311_cov_8.59512,0.051,34311,0.5302,3.4595,1187,31,28,0.5374,0,0.3
LID105944,5_LID_105867_65_length_34064_cov_12.309771,0.0457,34064,0.5259,2.8212,961,30,25,0.609,0,0.3
LID105944,6_LID_107883_492_length_34868_cov_56.276093,0.0757,34868,0.5993,4.6432,1619,45,50,0.6568,0,0.37
LID105944,7_LID_105984_101_length_34574_cov_32.439343,0.0525,34574,0.5178,2.9444,1018,33,34,0.5245,0,0.32
,,,,,,,,,,,
,,,,,,,,,,,
LID105946,1_LID_105965_147_length_32612_cov_57.813084,0.0029,32612,0.4945,0.2177,71,3,1,0.6421,0,0.06
LID105946,2_LID_108406_319_length_33793_cov_3042.057049,0.0047,33793,0.5329,0.3196,108,2,4,0.6049,0,0.09
LID105946,3_LID_108304_5458_2674_1100_9120_632_updated,0.0084,34219,0.4927,0.5611,192,5,4,0.5932,0,0.14
LID105946,4_LID_107882_345_length_34311_cov_8.59512,0.0027,34311,0.5302,0.169,58,1,2,0.5155,0,0.07
LID105946,5_LID_105867_65_length_34064_cov_12.309771,0.0046,34064,0.5259,0.1527,52,3,3,0.5769,0,0.12
LID105946,6_LID_107883_492_length_34868_cov_56.276093,0.0116,34868,0.5993,0.7973,278,7,8,0.5872,0,0.14
LID105946,7_LID_105984_101_length_34574_cov_32.439343,0.0043,34574,0.5178,0.2545,88,3,2,0.5,0,0.09
,,,,,,,,,,,
,,,,,,,,,,,
LID105947,1_LID_105965_147_length_32612_cov_57.813084,0.0084,32612,0.4945,0.5642,184,5,4,0.366,0,0.12
LID105947,2_LID_108406_319_length_33793_cov_3042.057049,0.0153,33793,0.5329,1.231,416,7,5,0.5491,0,0.15
LID105947,3_LID_108304_5458_2674_1100_9120_632_updated,0.013,34219,0.4927,0.4004,137,6,9,0.4493,0,0.27
LID105947,4_LID_107882_345_length_34311_cov_8.59512,0.0067,34311,0.5302,0.6091,209,2,4,0.4768,0,0.09
LID105947,5_LID_105867_65_length_34064_cov_12.309771,0.0081,34064,0.5259,0.3758,128,4,5,0.491,0,0.15
LID105947,6_LID_107883_492_length_34868_cov_56.276093,0.0214,34868,0.5993,1.2533,437,11,15,0.6362,0,0.21
LID105947,7_LID_105984_101_length_34574_cov_32.439343,0.0084,34574,0.5178,0.4136,143,4,6,0.5704,0,0.15
,,,,,,,,,,,
,,,,,,,,,,,
LID105948,1_LID_105965_147_length_32612_cov_57.813084,0.0097,32612,0.4945,0.7359,240,4,5,0.4636,0,0.12
LID105948,2_LID_108406_319_length_33793_cov_3042.057049,0.0809,33793,0.5329,4.0896,1382,2,1,0.5281,0,0.39
LID105948,3_LID_108304_5458_2674_1100_9120_632_updated,0.0093,34219,0.4927,0.5523,189,5,7,0.4149,0,0.14
LID105948,4_LID_107882_345_length_34311_cov_8.59512,0.0032,34311,0.5302,0.3177,109,3,0,0.5682,0,0.06
LID105948,5_LID_105867_65_length_34064_cov_12.309771,0.0113,34064,0.5259,0.5108,174,8,6,0.5278,0,0.2
LID105948,6_LID_107883_492_length_34868_cov_56.276093,0.0032,34868,0.5993,0.2352,82,3,1,0.5043,0,0.07
LID105948,7_LID_105984_101_length_34574_cov_32.439343,0.0106,34574,0.5178,0.483,167,5,6,0.5737,0,0.17
,,,,,,,,,,,
,,,,,,,,,,,
LID105949,1_LID_105965_147_length_32612_cov_57.813084,0.0129,32612,0.4945,0.7635,249,8,7,0.4651,0,0.15
LID105949,2_LID_108406_319_length_33793_cov_3042.057049,0.0095,33793,0.5329,0.5948,201,8,3,0.4804,0,0.13
LID105949,3_LID_108304_5458_2674_1100_9120_632_updated,0.0102,34219,0.4927,0.9556,327,5,7,0.5634,0,0.11
LID105949,4_LID_107882_345_length_34311_cov_8.59512,0.0195,34311,0.5302,1.1658,400,11,11,0.4807,0,0.19
LID105949,5_LID_105867_65_length_34064_cov_12.309771,0.0136,34064,0.5259,0.8132,277,7,6,0.416,0,0.16
LID105949,6_LID_107883_492_length_34868_cov_56.276093,0.0238,34868,0.5993,1.4827,517,16,13,0.58,0,0.22
LID105949,7_LID_105984_101_length_34574_cov_32.439343,0.0132,34574,0.5178,0.7809,270,9,7,0.5329,0,0.17
,,,,,,,,,,,
,,,,,,,,,,,
LID105950,1_LID_105965_147_length_32612_cov_57.813084,0.3773,32612,0.4945,19.0451,6211,21,12,0.4634,0,0.79
LID105950,2_LID_108406_319_length_33793_cov_3042.057049,0.0241,33793,0.5329,1.7933,606,14,13,0.5281,0,0.19
LID105950,3_LID_108304_5458_2674_1100_9120_632_updated,0.0257,34219,0.4927,1.7096,585,12,12,0.4961,0,0.22
LID105950,4_LID_107882_345_length_34311_cov_8.59512,0.0301,34311,0.5302,2.0751,712,21,17,0.479,0,0.23
LID105950,5_LID_105867_65_length_34064_cov_12.309771,0.53,34064,0.5259,35.5977,12126,76,74,0.5303,0,0.82
LID105950,6_LID_107883_492_length_34868_cov_56.276093,0.0294,34868,0.5993,2.2427,782,16,15,0.6233,0,0.21
LID105950,7_LID_105984_101_length_34574_cov_32.439343,0.0225,34574,0.5178,1.5532,537,15,13,0.5698,0,0.19
,,,,,,,,,,,
,,,,,,,,,,,
LID105951,1_LID_105965_147_length_32612_cov_57.813084,0.0287,32612,0.4945,1.619,528,17,18,0.4947,0,0.28
LID105951,2_LID_108406_319_length_33793_cov_3042.057049,0.0385,33793,0.5329,2.5508,862,23,25,0.5572,0,0.26
LID105951,3_LID_108304_5458_2674_1100_9120_632_updated,0.0372,34219,0.4927,2.6067,892,19,27,0.4935,0,0.25
LID105951,4_LID_107882_345_length_34311_cov_8.59512,0.0332,34311,0.5302,2.3695,813,16,18,0.5147,0,0.26
LID105951,5_LID_105867_65_length_34064_cov_12.309771,0.0389,34064,0.5259,2.5775,878,27,19,0.5355,0,0.26
LID105951,6_LID_107883_492_length_34868_cov_56.276093,0.0532,34868,0.5993,3.6222,1263,27,34,0.6667,0,0.3
LID105951,7_LID_105984_101_length_34574_cov_32.439343,0.034,34574,0.5178,2.0796,719,23,20,0.5096,0,0.25
,,,,,,,,,,,
,,,,,,,,,,,
LID105953,1_LID_105965_147_length_32612_cov_57.813084,0.004,32612,0.4945,0.233,76,3,2,0.4109,0,0.08
LID105953,2_LID_108406_319_length_33793_cov_3042.057049,0.0078,33793,0.5329,0.4616,156,6,4,0.6082,0,0.12
LID105953,3_LID_108304_5458_2674_1100_9120_632_updated,0.0077,34219,0.4927,0.526,180,6,4,0.4615,0,0.11
LID105953,4_LID_107882_345_length_34311_cov_8.59512,0.0085,34311,0.5302,0.7141,245,4,3,0.459,0,0.11
LID105953,5_LID_105867_65_length_34064_cov_12.309771,0.0036,34064,0.5259,0.3024,103,1,4,0.536,0,0.07
LID105953,6_LID_107883_492_length_34868_cov_56.276093,0.0134,34868,0.5993,0.8776,306,9,6,0.5902,0,0.16
LID105953,7_LID_105984_101_length_34574_cov_32.439343,0.0045,34574,0.5178,0.3008,104,3,3,0.6951,0,0.09
,,,,,,,,,,,
,,,,,,,,,,,
LID105954,1_LID_105965_147_length_32612_cov_57.813084,0.0232,32612,0.4945,1.5086,492,10,15,0.4941,0,0.2
LID105954,2_LID_108406_319_length_33793_cov_3042.057049,0.0255,33793,0.5329,1.6512,558,16,14,0.5531,0,0.22
LID105954,3_LID_108304_5458_2674_1100_9120_632_updated,0.0169,34219,0.4927,0.8709,298,10,14,0.5613,0,0.21
LID105954,4_LID_107882_345_length_34311_cov_8.59512,0.018,34311,0.5302,1.2795,439,10,14,0.573,0,0.17
LID105954,5_LID_105867_65_length_34064_cov_12.309771,0.026,34064,0.5259,1.9786,674,12,18,0.5104,0,0.2
LID105954,6_LID_107883_492_length_34868_cov_56.276093,0.0332,34868,0.5993,2.0907,729,19,23,0.6191,0,0.25
LID105954,7_LID_105984_101_length_34574_cov_32.439343,0.0208,34574,0.5178,1.452,502,12,12,0.5759,0,0.18
,,,,,,,,,,,
,,,,,,,,,,,
LID105955,1_LID_105965_147_length_32612_cov_57.813084,0.0147,32612,0.4945,0.7175,234,7,10,0.5113,0,0.19
LID105955,2_LID_108406_319_length_33793_cov_3042.057049,0.0281,33793,0.5329,1.2665,428,18,15,0.4367,0,0.35
LID105955,3_LID_108304_5458_2674_1100_9120_632_updated,0.0189,34219,0.4927,1.4027,480,9,11,0.5386,0,0.17
LID105955,4_LID_107882_345_length_34311_cov_8.59512,0.0089,34311,0.5302,0.615,211,6,6,0.5994,0,0.12
LID105955,5_LID_105867_65_length_34064_cov_12.309771,0.025,34064,0.5259,1.5236,519,16,10,0.5503,0,0.23
LID105955,6_LID_107883_492_length_34868_cov_56.276093,0.023,34868,0.5993,1.7552,612,14,15,0.5871,0,0.18
LID105955,7_LID_105984_101_length_34574_cov_32.439343,0.0134,34574,0.5178,0.9082,314,8,8,0.4739,0,0.15
,,,,,,,,,,,
,,,,,,,,,,,
LID105956,1_LID_105965_147_length_32612_cov_57.813084,0,32612,0.4945,0,0,0,0,0,0,0
LID105956,2_LID_108406_319_length_33793_cov_3042.057049,0.0008,33793,0.5329,0.0829,28,0,1,0.6071,0,0.03
LID105956,3_LID_108304_5458_2674_1100_9120_632_updated,0,34219,0.4927,0,0,0,0,0,0,0
LID105956,4_LID_107882_345_length_34311_cov_8.59512,0,34311,0.5302,0,0,0,0,0,0,0
LID105956,5_LID_105867_65_length_34064_cov_12.309771,0,34064,0.5259,0,0,0,0,0,0,0
LID105956,6_LID_107883_492_length_34868_cov_56.276093,0,34868,0.5993,0,0,0,0,0,0,0
LID105956,7_LID_105984_101_length_34574_cov_32.439343,0,34574,0.5178,0,0,0,0,0,0,0
,,,,,,,,,,,
,,,,,,,,,,,
